제품 이름,평점,판매 회사,날짜,제목,내용
디클 클릭북 D11 plus,4,디클,20.10.27.,주문하고 이틀만에 받았네요 서브로 문서 작업용으로만 쓰려고 산거라 가성비는 괜찮습니다. 다만 한글 프로그램 하나 깔았을 뿐인데 남는 용량이 6기가ㅋㅋ거의 7년 전에 산 hp태블릿p,"주문하고 이틀만에 받았네요 서브로 문서 작업용으로만 쓰려고 산거라 가성비는 괜찮습니다. 다만 한글 프로그램 하나 깔았을 뿐인데 남는 용량이 6기가ㅋㅋ
거의 7년 전에 산 hp태블릿pc를 들고 다니며 줄곧 문서 작성 사용했는데 윈도우 업데이트 문제도 있고 버벅거리는 느낌이 있어 바꿔보게 되었습니다.
크기는 그와 비슷하여 11인치가 눈에 익는데 한글 프로그램 열었을 때를 비교해보면 확실히 해상도가 떨어지는 것이 느껴지네요 7년 전 60만원 정도에 구입한 제품보다 그래픽 카드가 별로라는 것이겠지요.. 쓰다보면 적응될테니 기다려보려합니다
. 블로그 띄우면 사진 같은 게 천천히 뜨는 편네요. 성격 급하신 분들은 서칭 용도로 만족하실지 의문입니다 동영상이나 그런 건 재생 안해봐서 잘 모르겠네요~
키보드는 노트북 자판 위에 올려놓고 씁니다(그러고 있다보면 뭔가 바보같은 느낌이 들지만ㅋㅋ)
단점만 쭉 읊은 것 같지만 전자기기는 사용자가 필요로 하는 기능을 탑재하고 그에 상응하는 가격을 가지고 있다면 좋은 선택이라고 생각합니다. 그런 의미에서 문서 작성과 단순 인터넷 검색 정도를 하는 저에겐 가성비가 상당히 좋은 제품입니다
다만 넉넉한 sd카드 함께 쓰시고 속도나 기능면에서 큰 기대없이 서브 개념으로 쓰겠다 하시는 분들에게 추천드립니다~"
디클 클릭북 D11 plus,4,디클,20.11.27.,약 2주정도 사용후기입니다.1. 상품 개봉 및 업데이트 제 기준엔 상품 포장 잘 되있던거같아요 깨진거 없이 안전히 잘왔습니다. 보내주신 설명서보고 업데이트 진행했는데 한 20-30,"약 2주정도 사용후기입니다.

1. 상품 개봉 및 업데이트

제 기준엔 상품 포장 잘 되있던거같아요 깨진거 없이 안전히 잘왔습니다. 보내주신 설명서보고 업데이트 진행했는데 한 20-30분 넉넉히 잡고 기다리셔야해요. 시간 가는줄 모르고 했어용

2. 인터넷 속도 및 버퍼링

인터넷은 생각보다 느린감 없이 바로바로 켜지는거같아요.
근데 유튜브 사이트 들어가면 아무래도 영상이 많이 떠있어서 그런지 전체적으로 뜨기까지 8초-10초정도 있어야 화면이 다 나오더라구요.
그게 좀 답답한데 재생하면서 버퍼링이 심하거나 못볼 정도는 아니에요

3. 음질

제가 둔한편인건지 . 확실히 핸드폰 보단 좀 낫지만 전 만족합니다. 근데 유튜브같은경우는 소리도 크게 잘나오는데 간혹 블로그 동영상볼때 최대 볼륨 높였을때 소리가 커서 줄이는 반면에 최대볼륨으로 해도 많이 작게 들리는 경우가 있더라고요. 이건 복불복인거같아요.

4. 제일 당황스러웠던 윈도우 업데이트

와이파이로 인터넷 설정을 해놔서 윈도우 업데이트가 자동적으로 된다고는 들었는데 이틀째 쓰려고하니까 갑자기 절전모드 화면이라고해야하나 잠금화면 클릭 한번했는데 멈춰서 너무 당황했습니다.
그래서 강제종료하고 이래저래 많이 걱정했는데 자동업데이트가 되면서 발생 할 수 있는 오류라고하네요. 이 점에대해 네이버 톡톡 문의사항으로 남겼더니 직접 먼저 전화도 주시고 문자로 대체방법도 보내주시고 친절하셨습니다.

5. 2주 써본 결과

전 크게 웹서핑이나 간간히 영상보고 검색용으로 산거여서 저처럼 간단히 쓰실꺼면 추천드립니다. 생각해서 마이크로SD 128GB 추가로 있습니다. 실물이 너무 예뻐서 애지중지 하게되네요! 문서는 엑셀은 기본으로 깔려있는거같은데 아직 제대로 써본적은 없어서 간간히 영상용으로 쓰실분은 꼭 사세요!"
디클 클릭북 D11 plus,5,디클,21.12.16.,넷북의 추억이 돋아난다! 인강용 & 사무용 저가 노트북! 디클 클릭북 D11 plus : 11인치 셀러론 인강용 사무용 대학생 저가 노트북 예전 넷북 때와는 달리 요즘 저가,"넷북의 추억이 돋아난다! 인강용 & 사무용 저가 노트북!
디클 클릭북 D11 plus : 11인치 셀러론 인강용 사무용 대학생 저가 노트북

예전 넷북 때와는 달리 요즘 저가 노트북에 많이 사용하는 인텔 셀러론 CPU의 성능도 많이 올라가 있는 상태라 인터넷 검색은 당연 기본. 워드나 파워포인트와 같은 오피스 작업도 여유롭고, 4K 영상 재생도 문제없을 정도여서 인강을 돌리는 것도 깔끔하다.

굳이 터치 기능이 필요 없다면 키보드도 터치펜 따위의 액세서리를 구매할 필요가 없는 저가 노트북이 훨씬 유용한 선택이지 싶다.

20만원대 . CPU의 성능도 게임만 아니라면 뭘 하든 아쉬움은 없는 정도. 카페에 내놓아도 괜찮다.

개인적으로 아쉬운 것이 있다면 메인 스토리지를 eMMC로 했다는 정도랄까 다행히 별도의 M.2 SSD 슬롯을 제공을 하고 있으니 꼭 몇 만원 투자해서 필히 M.2 SSD로 스토리지를 확장시켜 eMMC의 단점을 커버해 주는 것이 좋겠다.

전체적인 마감이나 스타일, 인강용 사무용 대학생 저가 노트북."
디클 클릭북 D11 plus,5,디클,21.05.11.,"상자 개봉하자마자 튀어나왔던 말이 너무 귀엽다, 장난감 같다-였어요 :) 생각보다 미니미한 사이즈에 정말 앙증맞습니다ㅋㅋ 자기 전이나 침대 위에서 글쓰는 용도로 구매할 노트북 찾고","상자 개봉하자마자 튀어나왔던 말이 너무 귀엽다, 장난감 같다-였어요 :) 생각보다 미니미한 사이즈에 정말 앙증맞습니다ㅋㅋ

자기 전이나 침대 위에서 글쓰는 용도로 구매할 노트북 찾고 있었어요. 너무 비싸거나 큰 노트북은 부담스러웠고 가격이 적당하다 싶으면 무게가 1키로그램이 넘어 가더라고요. 딱 적당해서 구매했는데 정말 만족스럽네요!

궁금해 하실 속도 부분! 확실히 일반 노트북에 비해 조금 느리긴 합니다. 와이파이 문제는 아닌 것 같구요, 노트북 기본 사양 때문인 것 같아요. 그렇지만 빵빵한 와이파이 기준, '아 조금 답답하다' 수준입니다. 저는 목적 자체가 타이핑이었으니 이 정도면 감지덕지죠 :)

타이핑은 스페이스키와 한영 키가 조금 불편하게 위치해 있어서 스페이스를 누를 때 한영키를 누르는 일이 종종 발생하는 것 같아요. 그치만 금방 적응될 듯 하구요, 고급 사양 노트북의 타자감을 기대하시지만 않는다면 괜찮게 쓰실 겁니다. 전에 이런 미니 노트북을 산 적 있었는데 그것보단 타자감 좋아서 만족이에요~😊"
디클 클릭북 D11 plus,4,디클,20.09.22.,15인치 노트북이 있는데 영상 보기에 저한텐 너무 크게 느껴져서 꼭 작은 사이즈를 갖고 싶었어요. 11인치 윈도우 노트북은 선택지가 이것밖에 없는데 사양은 넘 낮아서 오랫동안,"15인치 노트북이 있는데 영상 보기에 저한텐 너무 크게 느껴져서 꼭 작은 사이즈를 갖고 싶었어요.
11인치 윈도우 노트북은 선택지가 이것밖에 없는데 사양은 넘 낮아서 오랫동안 고민하다가 모험하듯 질러봤습니다.
왜 고민했나 싶을 정도로 만족하고 있어요.
일단 크기가 아주 흡족해요. 침대에 앉아 무릎에 놓고 볼 때 딱 좋고 책상에 놔도 큰 모니터보다 만족감이 높아요. 영상 보다가 자리를 옮기거나 집안 일 할 때 옮겨가면서 보는데 가벼우니 휙 옮겨서 볼 수 있고요.
넷플릭스는 물론이고 유튭 1080도 잘 돌아가요. 체감상 크롬보다 마이크로소프트 엣지가 훨씬 부드럽게 잘 돌아가니까 영상은 꼭 엣지로 봐주세요.

장점이나 단점이나 다른 분들과 대동소이 할거예요. 인터넷은 쓸만한 정도 속도고 영상 종류 따라 답답할 때가 있습니다. 키보드는 조금만 오래 쳐도 손이 많이 아프더라고요. 블투 키보드 가진 게 있어 긴 작업엔 그걸 쓰고 있습니다."
디클 클릭북 D11 plus,5,디클,21.01.28.,빠른 배송과 판매자님의 고객응대에 깊이 감사드립니다컴맹인 제가 노트북은 생소해서 두려웠는데 동봉해주신 사용설명서가 큰 도움이 되었고 아주 맘에듭니다.제품받고 사용절차뒤 필요했던연말,"빠른 배송과 판매자님의 고객응대에 깊이 감사드립니다
컴맹인 제가 노트북은 생소해서 두려웠는데 동봉해주신 사용설명서가 큰 도움이 되었고 아주 맘에듭니다.
제품받고 사용절차뒤 필요했던
연말정산은 잘 해결했는데요
정품인증 안되어 있다고 자꾸 확인하라고 근데 설명서엔 인증된거고 사용자가 새로 하게되면 유상서비스를 받아야한다고 되어있고 좀 헷갈렸서요
인터넷접속이나 문서 다운받는거 잘 된거보면 이상 없는거죠
컴퓨터 하단 알림에 자꾸 마이크로 정품인증 뭐 어쩌고저쪄고 문제해결하라고 떠서요
그리고 메일 받은 첨부파일 보려하면 자꾸 오피스 무료체험화면으로 바뀌어서 답답했답니다
usb로 다운받은거 보는건 안
그러던데 원래 그런건지 제가 넘 몰라서요..
문서 보려할때 오피스 무료체험화면이 떠서 Esc키를 누르니깐오피스 화면이 없서지던데 맞게 사용하고 있는거지도 모르겠서요
그리고 메일 받은 문서파일을 열면 이상한 글씨체로 전체가 되 있는건 어떻게 해결하는지도요
제품 받고 넘 맘에 든다고 감사하다고 리뷰 남기는 곳에 기본적인
질문을 너무 많이해서 죄송하고
창피하네요"
디클 클릭북 D11 plus,5,디클,20.10.21.,"몇시간 써보고 맘에 들어서 씁니데이 사양-을 따지는 분이 이걸 사진 않겠죠.근데 라이트하게 쓰는 사람은 사실 느리고 그런거 체감할 일도 없음; 저는 인강(배속,와따가따 졸라심하게하","몇시간 써보고 맘에 들어서 씁니데이

사양-을 따지는 분이 이걸 사진 않겠죠.근데 라이트하게 쓰는 사람은 사실 느리고 그런거 체감할 일도 없음; 저는 인강(배속,와따가따 졸라심하게하는편)이랑 문서작성용으로 샀는데 전혀 불편 없음. 근데 유튭같은거 엄청 보시고 빨리빨리 민족인 분들은 라이트유저라도 빡칠 수 있을 듯합니다. 왜 인강은 잘되고 유튭은 느린지는 컴맹이라서 몰겠네유.

디자인- 레트로 미니어처 인스타 다꾸감성 뭐 그런 느낌임. 대충 하얗고 작은게 아니라 찐으로 귀엽습니데이

크기- 요만한 노트북이면 태블릿이나 아예 큰 놋북이 낫지 않나 할 수 있는데 '요만한' '노트북'이기에 갖는 특장점이 많음. 이 제품을 살 제일 큰 유인 아닐까

그외 스피커,키감,화질,색감 등 -본인 프로예민러인데 딱히 거슬리는 부분 없음.

가격도 어정쩡하지 않고 화끈하게 싼데 비지떡 아니고 맘에 들어서 기분좋은 구매였습니데이.. 계속 잘쓰길 바라며.."
디클 클릭북 D11 plus,4,디클,21.03.23.,크기 :a4용지보다 조금 작음디자인 : 색도 예쁘고 전체적으로 좋음용량 : 업데이트 다 하니까 7.56GB남음속도 : 느림. 강의 들을 때 최고화질에서 10초 뒤로가기하면 7~1,"크기 :a4용지보다 조금 작음
디자인 : 색도 예쁘고 전체적으로 좋음
용량 : 업데이트 다 하니까 7.56GB남음
속도 : 느림. 강의 들을 때 최고화질에서 10초 뒤로가기하면 7~10초 동안 멈췄다가 재생됨(고화질은 4~6초 멈춤). 바탕화면에서 인터넷창 키고 바로 유튜브 들어가고 영상목록 8개 다 뜨는데 1분 걸림...
다른 리뷰처럼 이 노트북으로 유튜브 진짜 볼까 궁금함. 720p로 설정하고 보는데 핸드폰에서 360p로 설정하고 보는거랑 화질이 똑같은거 같음
자판 : 님들 예전 터치폰 아시나요? 지금 스마트폰은 정전식이라 살짝만 화면 터치해도 정전기를 이용해 인식되지만, 터치폰은 화면에 압력(강한 터치)을 줘야 인식되는 거죠. 노트북 자판 인식이 딱 터치폰 생각하면 쉽습니다. 자판이 안 되는건 아니지만 평범한 노트북보다 세게 눌러야 인식됩니다.

결론 : 오직 강의용으로만 사용한다면 추천할만 함. 강의 듣다 쉴때 유튜브 잠깐 볼때도 나름 타협하면 볼만함. 내부열기 빠져나가는 곳 없어서 노트북 금방 뜨거워지는건 함정. 다른 리뷰에 오른쪽 구멍에 충전기 꽂고 충전도 안되는 노트북이라고 악플달던데 왼쪽에 꽂으면 충전 잘됨."
디클 클릭북 D11 plus,2,디클,21.03.22.,"회계 프로그램 돌리고, 회계인강 보는 용도로만 쓰느거라 그냥저냥 만족하며 쓰고 있어요. 실사용 시간이라고 해봤자 하루에 3-4시간 정도? 사용 안하는 날도 있으니 일주일에 한 4","회계 프로그램 돌리고, 회계인강 보는 용도로만 쓰느거라 그냥저냥 만족하며 쓰고 있어요.

실사용 시간이라고 해봤자 하루에 3-4시간 정도?
사용 안하는 날도 있으니 일주일에 한 4일정도 저리 쓰는데 생각보다 배터리가 빨리 닳네요.
30분짜리 강의를 봐도 배속속도를 최대로 하고 보기 때문에 실제로 30분동안 강의를 보는게 아닌데도 불구하고 배터리가 빨리 닳아요.
그래서 항상 강의 재생 전 배터리 절약모드인가 그거 켜놓고 강의 볼 정도...ㅋㅋㅋ

잔고장만 없으면 1년 정도는 뭐 더 사용할 수 있을거 같아요.
그리고 후기를 보니 떨어트린것도 아닌데 노트북 액정이 깨졌단 후기가 있더라고요.
그 후기에 디클 측에서는 키보드 자판 부분에 볼펜 같은 물건을 두면서 깨질 수도 있다고 남기신걸 보고 '°ࡇ° ㅏ 저렴이라서 덮어만 놔도 쉽게 깨지는구나.' 싶어 이제껏 덮은 적이 한번도 없다는거~~~

기존 용량이 너무 적어서 기본적으로 설치되어 있는것들 이랑 업데이트 하면서 저장된다는 파일들까지 싹 다 지워버리니 8기가 정도 남아요.
sd카드로 파일 설치되게도 해보고 파일 복사해서 붙여넣기 해봐도 기존 저장소에 그 파일이 없으면 프로그램 실행 불가...ㅋ
그래서 그냥 영상 보는 용도로만 써요.


+ 제가 처음 썼던 후기 보면 아시겠지만 화면 들뜸 있고 소리 난다고 했잖아요ㅋㅋㅋ
이런 경우면 당연히 못 덮죠.
불안해서 누가 덮고 다녀요.
그 후기 남겼던 분이 설마 키패드에 뭐 올려진것도 모르고 팍 닫았을까봐요?ㅋㅋㅋ
몰랐다하더라도 중간엔 알았을텐데 어떤 바보가 물건도 안 치우고 그 상태에서 다시 팍 닫을까요?
전체적으로 부품부터 가격만큼의 값을 하니까 불안해서 못 덮는다고요~~~"
디클 클릭북 D11 plus,5,디클,21.01.13.,인강용으로 검색하다가 알게된 디클 클릭북!!우선 너무 예쁜 색상과 앙증맞은 크기때문에 한눈에 반해서 알아보고 바로 구입결정하게 됬어요!!배송은 입금 후 이틀째에 도착할만큼 생각보다,"인강용으로 검색하다가 알게된 디클 클릭북!!
우선 너무 예쁜 색상과 앙증맞은 크기때문에 한눈에 반해서 알아보고 바로 구입결정하게 됬어요!!
배송은 입금 후 이틀째에 도착할만큼 생각보다 엄청 빨리 왔구요 꼼꼼히 포장되서 왔구 사은품으로 주신 마우스랑 패드도 핑크로 깔맞춤해서 센스있게 보내주셔서 핑크핑크 해졌답니다*_*
키스킨까지 핑크로 했는데 소음도 줄고 예쁘기까지..!!

디클북의 크기는 에이포보다 작은사이즈로 일반 노트크기랑 비슷하다고 보심 되구요!!
아기자기하고 가벼운게 큰 장점같아요!
하지만 화면은 또 넓어서 핸폰으로 동영상 볼때보다 넘 편하고 행복하네요☺
파우치도 필수템인거 아시죠?^^
파우치의 바깥 주머니는 놋북 넣으면 잘 안벌어져서(아쉬운..ㅠ)
충전기랑 마우스는 그냥 놋북과 함께 메인주머니에 넣고 다닌답니다ㅋㅋㅋ

용량은 번거로운게 싫어서 주문시 추가했구요!
(웬만하면 추가하시는게 좋을것 같아요ㅎㅎ)
원도우 업데이트 시 작은 어려움(?)이 있었긴 한데
사용설명서도 같이 보내주시고 카카오톡 채널추가해서 자주묻는게시판 활용해서 순서대로 하니 금방해결됬어요!! 초기설정은 정말 쉬워요!

인터넷이나 작업속도가 느릴까 걱정했고, 살짝 큰 기대는 안하고 있었는데 생각보다 컴퓨터 작업속도도 빠르고 작동도 잘되고 아직까진 큰 오류없이 잘 사용하고 있어요
인강용으로 산거라 플레이어 설치하구 보는데 다른 리뷰에서 보았던 일시적인 떨림현상,깜박임이나 렉 같은건 1도 없이 잘 사용하고 있어요:)
우려와 달리 가성비 좋은 놋북이라 완전 만족해요
(엄마도 보시더니 사달라구 하시네요^^;)"
디클 클릭북 D11 plus,5,디클,20.02.28.,컴퓨터에대해 잘 모르기도하고 게임할거두아니라서 그냥 싸고이쁜거 찾아서 구매했어요디자인이나 색상은 정말 예뻐요 ! 예쁘구 가벼워서 들고다니면 왠지 기부니좋아요 근데 모니터 화면에 먼,"컴퓨터에대해 잘 모르기도하고 게임할거두아니라서 그냥 싸고이쁜거 찾아서 구매했어요
디자인이나 색상은 정말 예뻐요 ! 예쁘구 가벼워서 들고다니면 왠지 기부니좋아요
근데 모니터 화면에 먼지가 좀 잘붙어서 화면보호필름 같이사는게 좋을거같아요.
키보드커버같이샀는데 키보드커버는 내구성이별로에요 몇번쓰면찢어질거처럼생겼어요.
세트로주는 마우스는 사진으론이쁜데 실물은 완전허접합니다. 무선마우스별도구매추천
놋북성능은. . 블로그랑 인터넷만 써서 잘 모르겠지만. . 전혀느리지않아요!
특히 요거루 bts콘서트 티켓팅했는데 성공했어요 ! ! 서버다운되고난리났었는데 저는 디클노트북으로 무리없이 예매했습니다

고성능게임할거아니라면 예쁘고 무난하게 쓸수있는 노트북찾는분들께추천드려요!
이정도 디자인, 성능에 이가격이면 가성비충분히뽑았네요!

구입하실분들은
무선마우스별도구입, 화면액정보호필름 구입을 추천드립니다."
디클 클릭북 D11 plus,5,디클,21.02.17.,"저는 노트북, pc등 전자제품과 거리가 좀 먼 사람입니다. 20년전 구매한 노트북은 상당히 무겁고 금액도 지금보다 훨씬 비싸서 좋지않은 추억을 가지고있었습니다. 또한 노트북 및 전","저는 노트북, pc등 전자제품과 거리가 좀 먼 사람입니다. 20년전 구매한 노트북은 상당히 무겁고 금액도 지금보다 훨씬 비싸서 좋지않은 추억을 가지고있었습니다. 또한 노트북 및 전자제품은 하루가 멀다하고 성능개선이 이뤄지는 시대에 뭔 넷북이냐? 돈 낭비라고 생각했었죠.

하지만, 이번에 재택근무를 하려니 pc가 무지 아쉬워서 최소기능에 인터넷만 되는 슬림형 가벼운 제품으로 약 20년만에 넷북을 구매하게 되었습니다.
물론, 가격도 저렴하면 좋겠다고 생각했었죠^^

배송 : 설연휴 전에 주문해서 배송이 늦을줄 알았는데, 수요일에 받았습니다. (월~수) 3일 걸렸습니다. 설연휴 택배물량 감안하면 일찍 도착했습니다.

설치 : 설명서대로 전원켜고 그냥 읽어가면서 확인 체크하면, 금방 '원도우10' 설정이 마무리됩니다.

네트웍연결 : 모바일핫스팟 무선랜 접속해서, 실시간 스포츠 중계 동영상 띄워보니 끊김없이 잘돌아갑니다. 하지만, 간헐적으로 실시간 스트리밍 전송이 지연됩니다. 뭔가 아주 사알~짝 아쉬움.

색상 : 핑크랑 화이트중. 시간이 지나도 무난한 '화이트' 선택했는데, 생각보다 많이 이쁩니다.

사이즈&디자인 : 아담한 크기에, 깔끔! 합니다.

기타 : 사은품인 마우스&마우스패드. 심플하면서 이쁩니다.

개선사항? :
1 아답터 잭을 우측 이어폰 단자에 꽂는 실수를 하였는데, 전원 단자 표시가 잘 식별되도록 전원단자 상단에 아답터잭 입력부라는 표시?가 살~짝 있다면 좋을것 같습니다.
2 금액을 조금 올려서, 성능 업그레이드 된 제품이 나오면 좋을것 같습니다. 특히 동영상 끊김이 아주 간헐적으로 발생되는데.. 뭔가 모르게 살짝 아쉽습니다.
3 파우치 외에, 숄더백 같은 노트북 가방을 판매하셨음합니다. 파우치는 마우스, 아답터 등을 담을수 없어 불편합니다.

총평 : 가격대비 상당히 만족합니다. 간단한 인터넷 접속에 유용. 영화 등 동영상 저장 해두고 감상시 적합. 조금 더 성능개선시 완벽.

끝으로 이제품 제조, 판매자분께 '상'줘야 합니다. 돈 많이주면 당연히 좋은제품 구입가능합니다. 하지만 그보다는 자신의 사용용도 및 활용능력에 맞게 구매하는게 현명 하다고 봅니다. 저는 이제품으로 행복지수 상승중입니다. ㅎㅎ
동영상강의, 재택근무, 혼자서 영화보기 등. 최소한의 pc 및 인터넷 기능을 원하시면 이제품이 딱입니다.

고객의 입장에서 더 좋은 제품으로 대박 나시길! ^^"
디클 클릭북 D11 plus,5,디클,21.04.17.,초등학교 입학한 딸램이 잘 등교하다가 갑자기 학생중에 코로나가 나와서 원격수업으로 전면 전환되는 바람에 급하게 구입했네요...입학전에 디클클릭북D14+를 담아놨는데..품절도 되고,"초등학교 입학한 딸램이 잘 등교하다가 갑자기 학생중에 코로나가 나와서 원격수업으로 전면 전환되는 바람에 급하게 구입했네요...입학전에 디클클릭북D14+를 담아놨는데..품절도 되고 학교도 매일 등교하길래 그냥 접었는데.갑자기 원격수업으로 전환되니 멘붕은 왔지만 믿고 살만한 곳은 여기뿐이더라구요~비싼거야 당연히 더좋겠다는건 사실이지만 아이가 돌봄교실가서 줌수업을 하게되면 노트북을 들고 다녀야 하는데 아이에게 100만원에 달하는 노트북을 쥐어주면...잃어버려도 화나고 고장내도 화날듯 싶어서 ㅋ ㅋ아이들 학습용으로 가성비 너무 괜찮은 이걸 구입하게 되었네요.
디클 D11은 일단 화질 좋구요~초딩이 들고다니기에 가볍고 얇아서 넘 괜찮아요...엄마인 제가 탐나서 컵숍가져가고픈 느낌...그래서 컬러는 딸램이 핑크를 골랐지만 품절이라 얘기하고 엄마취향으로 화이트 했네요~ㅍㅎㅎ국내 유명브랜드에 뒤지지않는 가성비 노트북이에요...요거 아이 친구들이보면 다 따라산다할꺼같아서 뚜껑에다 좀 블링블링하게 꾸며줘야겠어요 ^^"
디클 클릭북 D11 plus,4,디클,20.09.19.,"잘받았습니다. 일단 제껀 처음 받았을때 택배 상자가 찌그라져서 내용물이 걱정될정도였고, 그로인해 내용물 포장 에어캡이 많이 부실하다 생각이 들었는데 이점을 고려해주시면 좋겠습니다.","잘받았습니다. 일단 제껀 처음 받았을때 택배 상자가 찌그라져서 내용물이 걱정될정도였고, 그로인해 내용물 포장 에어캡이 많이 부실하다 생각이 들었는데 이점을 고려해주시면 좋겠습니다.(이부분으로 별점 1개 빼요) 그리고 받고나니 충전이 안되서 문의를 하니 10분안에 답변이 오고 바로 처리해주셨어요. 충전기 교환까지 빠르게 회신을 받았습니다. 답변해주신 직원분이 빠릿하고 친절하셨어요.

그리고 노트북을 살때 저는 가장 크게 본게 디자인,사이즈, 무게, 가격 이렇게였고 원래 사용중인 데탑이랑 태블릿이 있어서 부담없이 들구다니기 쉬운 서브노트북 위주로 찾았는데 딱 이 노트북이더라구요. 가격을 생각해서 큰 기대는 없었지만 막상 받고 나니 굉장히 좋습니다:)

게임이나 무거운 프로그램은 일절 사용안하고 딱 유튜브 영화감상이나 인강, SNS, 디스코드, 행아웃 용도로는 좋아요. 사실 SD카드 사두고 끼우는것도 잊을 정도로 편협하게 사용하니 용량도 저는 별 문제가 없었는데 기기는 역시 거거익선 다다용량이니까요! 그리고 많이 느리다고는 하시는데 적당히 쓰시겠다 하신분들 외에는 돈더 보태서 SSD카드 장착된 다른걸 사용하시길 바래요. 노트북 자체로는 다른 노트북에 비해 느린편인데 그렇게 느린건 아니고 체감상 느리다보니(한 1.5초~2초쯤) 빠릿한걸 좋아하시는 분들께는 추천을 해 드릴수가 없네요.

무게랑 크기가 작고 가볍다보니까 그냥 누워서 SNS랑 영화보기 좋아요. 저처럼 그냥 다운도 별로 할 생각없고 SNS쓰고 영상만 보겠다하시는분들, 누워서 디코나 행하겠다 하는분들께 추천합니다.

참고로 카카오톡문의보다 네이버톡톡쪽 문의가 빠르다는 말을 듣고 이쪽으로 드렸는데 정말 빨랐고 처리도 확실하게 해주셔서 다음에도 이쪽에서 재구매 할 것같아요. 번창하세요~!"
디클 클릭북 D11 plus,1,디클,21.03.10.,일단 디자인은 너무 이뻐요 디자인은 정말 최고예요 가볍고 이동할때 들고 다니기도좋고 ...하지만 .....비번을 누를때 0숫자가 안 눌러져서 컴터 키지고 못하다 다시 비번 분실로가,일단 디자인은 너무 이뻐요 \n디자인은 정말 최고예요 가볍고 이동할때 들고 다니기도좋고 ...\n하지만 .....\n비번을 누를때 0숫자가 안 눌러져서 \n컴터 키지고 못하다 다시 비번 분실로가서 문자보내도 문자도 안오고 다시 나가서 핀번호 누르는데로 가서 핀번로 누르고 그때서야 컴터가 켜져요 대략 그시간이 2~3분 소요되네요 \n그렇게 1주일을 쓰고있네요 \n이런 오류 없으신분들은 잘쓰시겠지만 너무 저렴해서 뭐 바꾸고 싶지않고 다시 삼성이나 엘지로 구매할려구요 \n세컨 컴으로 구매했는데 돈30날렸다치고 교훈삼아 대기업 제품만 쓰렵니다 \n아 그리고 검색할때 한타 ㅏ자를 누르면 숫자2가 나와오고ㅕ자를치면숫자4가나오지요 \n검색할려 검색어를치면 저래용 ㅋㅋ\n걍 버릴렵니다\n 것도모 싼맛에 산 내잘못이니 \n세컨 컴터도 대기업제품으로 사렵니다
디클 클릭북 D11 plus,5,디클,21.03.27.,"일단 가격대에 딱 맞는 성능과 디자인이에요! 일반 노트북 생각하시면 안되고, 옛날 넷북수준이라고 보시면 됨! 저는 글만 쓸거라서 이거 샀는데 글만 쓰기엔 딱이에요. 디자인 정말 마","일단 가격대에 딱 맞는 성능과 디자인이에요! 일반 노트북 생각하시면 안되고, 옛날 넷북수준이라고 보시면 됨! 저는 글만 쓸거라서 이거 샀는데 글만 쓰기엔 딱이에요. 디자인 정말 마음에 들어요. 레몬색이 너무 탐났는데 얼마나 인기많은 제품인지 벌써 다 품절 ㅜㅜ 그래서 전에 쓰던 노트북이랑 같은 핑크색을 샀는데, 전 노트북과는 다르게 유광 핑크라서 또 색다른 맛이 있네요. 그런데 인터넷이 정말 상상 이상으로 느려서, 만약 강의 보시려는 분이라면 다운 받아서 여기서 영상을 보는건 추천하지만 온라인강의로 보는건 살짝 비추입니다. 안 되진 않지만 혈압오릅니다 ㅋㅋㅋ 그 외에 기능은 모두 정상적이라 너무너무 잘 쓰고 있고 글작업만 들고다니면서 하시는분께는 완전완전 추천입니다. 그게아니라 글도쓰고 영상도 봐야겠고 유튜브도 자주본다 하시면 타사의 비싼 미니노트북을 추천하겠지만 이 제품은 아시다시피 가성비가 완전 쩌는 제품이라서 일단 가격에 너무 만족합니다. 저는 완전 만족해서 3년정도 쓰다가 고장나면 세컨드노트북으로 이거 또 살 것 같네요~~~ 작가들에겐 완전완전 추천합니다."
디클 클릭북 D11 plus,5,디클,21.01.06.,1. 설명서에 설명이 아주 자세하게 들어있어서 초보자도 쉽게 셋팅할수 있습니다~ 2. 디자인이 예쁩니다 여성분들 많이 좋아하실듯 특히 핑크는 전 화이트 샀는데 화이트도 예쁩니다3.,"1. 설명서에 설명이 아주 자세하게 들어있어서 초보자도 쉽게 셋팅할수 있습니다~
2. 디자인이 예쁩니다 여성분들 많이 좋아하실듯 특히 핑크는 전 화이트 샀는데 화이트도 예쁩니다
3. 가로 30 세로 20 정도의 크기입니다 딱 좋습니다 전 인강용으로 샀는데 아주 굿입니다
4. 유투브는 무선랜 샹황에 따라 다르긴하겠지만 아무래도 느린편이긴합니다 그렇다고 못할정도는 아닙니다
5. 제품설명에 없어서 저두 헷갈렸는데 유선마우스 기본으로 하나 옵니다
6. 파우치가방에 담으니 괜찮네요~ 만원주고 사는것도 나쁘지 않네요
7. SD카드는 필수인듯합니다
말 그대로 20만원 초반대를 생각한다면
정말 가성비 괜찮은 노트북인것 같습니다~
물론 오래가야겠지요~ 메이드인 차이나가 걸리긴하지만...ㅋ
한달정도 써보고 다시 남겨볼게요~"
